skill_abr,skill_name,recent_demand,total_jobs,growth_rate,weekly_slope,momentum_score,acceleration,trend_score,median_salary,remote_rate,active_days,observation_weeks,frequency
ART,Art/Creative,849.33,1637,4.1165,341.6667,417.5556,455.3333,30.428,80000.0,0.168,14.2,3,1664
DSGN,Design,1157.33,2207,4.3089,469.6667,578.2222,651.3333,33.16,90982.0,0.1441,14.2,3,2244
ADVR,Advertising,355.67,652,5.4667,150.3333,188.4444,228.6667,34.5264,94050.0,0.2071,14.2,3,681
PRDM,Product Management,697.44,1313,4.5796,286.2222,355.1852,413.7778,32.6403,140500.0,0.2513,14.2,3,1362
DIST,Distribution,226.67,409,9.303,102.3333,124.4444,132.6667,52.7122,60320.0,0.066,14.2,3,416
EDU,Education,1156.56,2217,4.6417,475.7778,576.1481,602.2222,35.4733,64974.0,0.0812,14.2,3,2290
TRNG,Training,1137.56,2164,4.5221,465.7778,571.4815,634.2222,34.542,61500.0,0.0772,14.2,3,2243
PRJM,Project Management,2045.89,3825,5.4539,864.4444,1059.037,1167.5556,44.5307,114400.0,0.1529,14.2,3,3997
CNSL,Consulting,1253.11,2241,6.1199,538.5556,685.6296,882.4444,46.4502,114400.0,0.2816,14.2,3,2338
PRCH,Purchasing,319.67,599,4.6082,131.3333,163.7778,194.6667,28.9584,87461.0,0.0751,14.2,3,610
SUPL,Supply Chain,636.67,1167,6.2348,274.3333,339.1111,388.6667,42.8326,89200.0,0.0917,14.2,3,1180
ANLS,Analyst,2058.22,3775,5.0182,858.1111,1085.9259,1366.8889,41.214,92560.0,0.2315,14.2,3,3858
HCPR,Health Care Provider,8088.22,16675,2.1743,2770.1111,3453.2593,4098.8889,22.9285,86060.0,0.0383,14.2,3,17369
RSCH,Research,1602.78,2928,5.1883,671.8889,850.7407,1073.1111,41.1402,93600.0,0.1991,14.2,3,2986
SCI,Science,444.11,782,7.0747,194.5556,248.2963,322.4444,45.5955,91242.0,0.1266,14.2,3,813
GENB,General Business,956.89,1929,3.0205,359.4444,433.7037,445.5556,23.4363,73828.0,0.1296,14.2,3,1984
CUST,Customer Service,2204.33,4167,5.9979,944.6667,1130.2222,1113.3333,49.0693,50000.0,0.1159,14.2,3,4292
STRA,Strategy/Planning,632.0,1158,6.1818,272.0,336.6667,388.0,42.4723,120644.0,0.1511,14.2,3,1178
FIN,Finance,4239.56,8011,4.6228,1742.7778,2150.1481,2444.2222,41.7614,92175.0,0.125,14.2,3,8540
OTHR,Other,6482.11,12314,4.092,2604.5556,3245.6296,3846.4444,39.1494,58500.0,0.0712,14.2,3,12608
LGL,Legal,1158.0,2229,4.5673,475.0,573.3333,590.0,35.0163,120000.0,0.1328,14.2,3,2371
ENG,Engineering,6747.89,12530,5.4573,2851.4444,3521.7037,4021.5556,51.4282,120000.0,0.17,14.2,3,13009
QA,Quality Assurance,933.78,1752,5.866,398.8889,482.7407,503.1111,42.8122,85640.0,0.121,14.2,3,1791
BD,Business Development,6809.89,13304,3.2803,2609.4444,3245.037,3813.5556,32.2366,76788.0,0.2031,14.2,3,14290
IT,Information Technology,13440.67,25256,4.9843,5597.3333,6887.7778,7742.6667,50.8953,112500.0,0.1848,14.2,3,26137
ADM,Administrative,2490.89,4787,4.8198,1031.4444,1239.037,1245.5556,40.6444,57737.0,0.1216,14.2,3,4860
PROD,Production,401.22,753,4.651,165.1111,205.2593,240.8889,30.3056,69680.0,0.0412,14.2,3,762
MRKT,Marketing,2871.56,5400,4.2401,1161.7778,1458.8148,1782.2222,36.7889,86500.0,0.2167,14.2,3,5525
PR,Public Relations,663.67,1258,4.771,274.3333,335.7778,368.6667,33.5797,72800.0,0.221,14.2,3,1298
WRT,Writing/Editing,751.67,1426,4.9186,312.3333,380.4444,408.6667,35.1945,77500.0,0.3022,14.2,3,1443
ACCT,Accounting/Auditing,2680.67,4999,4.4046,1092.3333,1378.4444,1716.6667,37.774,87500.0,0.106,14.2,3,5461
HR,Human Resources,1386.78,2608,4.525,567.8889,706.7407,833.1111,35.546,85000.0,0.1384,14.2,3,2647
MNFC,Manufacturing,9232.85,17728,9231.8426,2906.2444,4850.0247,2677.8148,84295.891,55000.0,0.0267,26.1,4,18185
SALE,Sales,10977.22,21193,3.6612,4311.1111,5349.9259,6232.8889,37.4845,75000.0,0.1812,14.2,3,22475
MGMT,Management,10626.26,20385,10625.2486,3346.8222,5583.9012,3091.0741,98511.9539,59280.0,0.0388,26.1,4,20861
